Indice;ISIN;Name;Weight;Sector;Country;Currency;Type
FondsF2;FR0000121725;DASSAULT AVIATION SA;0.008691271;Industrials;FRANCE;EUR;Equity
FondsF2;FR0000130650;DASSAULT SYSTEMES SA;0;Information Technology;FRANCE;EUR;Equity
FondsF2;FR0010208488;ENGIE;0;Utilities;FRANCE;EUR;Equity
FondsF2;FR0000121667;EssilorLuxottica SA;0.088339841;Consumer Discretionary;FRANCE;EUR;Equity
FondsF2;FR0011476928;GROUPE FNAC;0.007494647;Consumer Discretionary;FRANCE;EUR;Equity
FondsF2;FR0000052292;HERMES INTERNATIONAL;0;Consumer Discretionary;FRANCE;EUR;Equity
FondsF2;FR0004035913;ILIAD SA;0.058004786;Communication Services;FRANCE;EUR;Equity
FondsF2;FR0010259150;IPSEN;0.029096864;Health Care;FRANCE;EUR;Equity
FondsF2;FR0000073298;IPSOS;0.013036906;Communication Services;FRANCE;EUR;Equity
FondsF2;FR0000121485;KERING;0;Consumer Discretionary;FRANCE;EUR;Equity
FondsF2;FR0010307819;Legrand SA;0.067577781;Industrials;FRANCE;EUR;Equity
FondsF2;FR0000120321;L'OREAL;0;Consumer Staples;FRANCE;EUR;Equity
FondsF2;FR0000121014;LVMH MOET HENNESSY LOUIS VUI;0.082378133;Consumer Discretionary;FRANCE;EUR;Equity
FondsF2;FR0000121261;MICHELIN (CGDE);0.01398161;Consumer Discretionary;FRANCE;EUR;Equity
FondsF2;FR0010112524;NEXITY;0.003526893;Real Estate;FRANCE;EUR;Equity
FondsF2;FR0000133308;Orange;0;Communication Services;FRANCE;EUR;Equity
FondsF2;FR0000120693;PERNOD RICARD SA;0.009510014;Consumer Staples;FRANCE;EUR;Equity
FondsF2;FR0000121501;PEUGEOT SA;0;Consumer Discretionary;FRANCE;EUR;Equity
FondsF2;FR0000130577;PUBLICIS GROUPE;0;Communication Services;FRANCE;EUR;Equity
FondsF2;FR0000131906;RENAULT SA;0.03665449;Consumer Discretionary;FRANCE;EUR;Equity
FondsF2;FR0000073272;Safran SA;0;Industrials;FRANCE;EUR;Equity
FondsF2;FR0000120578;Sanofi;0;Health Care;FRANCE;EUR;Equity
FondsF2;FR0000121972;SCHNEIDER ELECTRIC SA;0;Industrials;FRANCE;EUR;Equity
FondsF2;FR0000121709;SEB SA;0.007683587;Consumer Discretionary;FRANCE;EUR;Equity
FondsF2;FR0000130809;SOCIETE GENERALE SA;0;Financials;FRANCE;EUR;Equity
FondsF2;FR0000121220;SODEXO;0;Consumer Discretionary;FRANCE;EUR;Equity
FondsF2;NL0000226223;STMICROELECTRONICS NV;0;Information Technology;NETHERLANDS;EUR;Equity
FondsF2;GB00BDSFG982;TechnipFMC PLC;0;Energy;UNITED KINGDOM;EUR;Equity
FondsF2;FR0000121329;THALES SA;0.033883361;Industrials;FRANCE;EUR;Equity
FondsF2;FR0000120271;TOTAL SA;0.059201411;Energy;FRANCE;EUR;Equity
FondsF2;FR0013326246;UNIBAIL RODAMCO SE;0.067703741;Real Estate;FRANCE;EUR;Equity
FondsF2;FR0000124141;VEOLIA ENVIRONNEMENT;0;Utilities;FRANCE;EUR;Equity
FondsF2;FR0000125486;Vinci SA;0.035017005;Industrials;FRANCE;EUR;Equity
FondsF2;FR0000127771;Vivendi SA;0.082104799;Communication Services;FRANCE;EUR;Equity
FondsF2;FR0010591362;Lyxor Daily ( 1x) Inverse ;0.05;Fonds;FRANCE;EUR;Fonds
FondsF2;FR0010411884;Lyxor Daily ( 2x) Inverse;0;Fonds;FRANCE;EUR;Fonds
FondsF2;QS0011017686;Biens de consommation;0;Index_Sector;FRANCE;EUR;Index_Sector
FondsF2;QS0011017652;Industries;0;Index_Sector;FRANCE;EUR;Index_Sector
FondsF2;QS0011017637;Materiaux de base;0;Index_Sector;FRANCE;EUR;Index_Sector
FondsF2;QS0011017603;Petrole & Gaz;0;Index_Sector;FRANCE;EUR;Index_Sector
FondsF2;QS0011017702;Sante;0;Index_Sector;FRANCE;EUR;Index_Sector
FondsF2;QS0011017785;Services aux collectivites;0;Index_Sector;FRANCE;EUR;Index_Sector
FondsF2;QS0011017736;Services aux consommateurs;0;Index_Sector;FRANCE;EUR;Index_Sector
FondsF2;QS0011017801;Societes Financieres;0;Index_Sector;FRANCE;EUR;Index_Sector
FondsF2;QS0011017827;Technologie;0;Index_Sector;FRANCE;EUR;Index_Sector
FondsF2;QS0011017769;Telecommunications;0;Index_Sector;FRANCE;EUR;Index_Sector
FondsF2;FR0003500008;CAC 40;0;Index_Size;FRANCE;EUR;Index_Size
FondsF2;QS0010989117;CAC Mid 60;0;Index_Size;FRANCE;EUR;Index_Size
FondsF2;FR0011710375;CAC PME;0;Index_Size;FRANCE;EUR;Index_Size
FondsF2;QS0010989125;CAC Small;0;Index_Size;FRANCE;EUR;Index_Size
ETF;FR0010591362;Lyxor Daily ( 1x) Inverse ;1;Fonds;FRANCE;EUR;Fonds
